Date,Product,Category,Country,Revenue,Quantity,Cost,Customer_Segment
2023-02-05,Denim Jacket,Apparel,Netherlands,3719.42,46,2211.23,Online
2023-02-06,Smartwatch Lite,Electronics,Portugal,2547.68,18,1285.46,Wholesale
2023-02-06,Running Shoes Pro,Footwear,Italy,1165.03,12,514.13,Wholesale
2023-02-06,Denim Jacket,Apparel,Italy,1887.76,22,1022.17,In-Store
2023-02-06,Yoga Mat,Fitness,France,300.74,9,122.5,Online
2023-02-06,Yoga Mat,Fitness,Netherlands,597.05,16,224.19,Online
2023-02-06,Running Shoes Pro,Footwear,Portugal,1624.14,20,866.99,Online
2023-02-06,Smartwatch Lite,Electronics,Germany,7489.21,46,3480.79,In-Store
2023-02-06,Running Shoes Pro,Footwear,Netherlands,1340.79,14,567.48,In-Store
2023-02-06,Wireless Earbuds,Electronics,Spain,4129.65,34,1997.88,Online
2023-02-06,Running Shoes Pro,Footwear,Spain,2418.82,26,1117.03,Wholesale
2023-02-06,Adjustable Dumbbells,Fitness,Spain,2503.92,11,1250.06,In-Store
2023-02-07,Cotton T-Shirt,Apparel,Netherlands,272.87,13,108.55,Wholesale
2023-02-07,Smartwatch Lite,Electronics,Netherlands,5055.2,33,2511.4,Online
2023-02-07,Wireless Earbuds,Electronics,Portugal,1381.2,11,638.31,In-Store
2023-02-07,Denim Jacket,Apparel,Portugal,692.94,8,397.79,Wholesale
2023-02-07,Running Shoes Pro,Footwear,Portugal,1521.74,19,800.03,Wholesale
2023-02-07,Trail Sneakers,Footwear,France,2679.82,33,1200.84,In-Store
2023-02-07,Cotton T-Shirt,Apparel,Portugal,639.99,34,273.7,Wholesale
2023-02-07,Wireless Earbuds,Electronics,Netherlands,129.41,1,60.94,In-Store
2023-02-07,Cotton T-Shirt,Apparel,Portugal,351.38,15,115.13,Wholesale
2023-02-07,Trail Sneakers,Footwear,Germany,704.65,9,325.12,Wholesale
2023-02-08,Smartwatch Lite,Electronics,Portugal,4149.14,25,1881.51,Wholesale
2023-02-08,Smartwatch Lite,Electronics,Netherlands,1156.42,7,529.39,Online
2023-02-08,Running Shoes Pro,Footwear,Italy,2072.23,22,941.35,In-Store
2023-02-08,Wireless Earbuds,Electronics,Spain,2466.48,20,1218.33,Wholesale
2023-02-08,Wireless Earbuds,Electronics,France,1329.28,12,730.96,Online
2023-02-08,Adjustable Dumbbells,Fitness,Italy,8819.71,40,4227.81,Online
2023-02-08,Yoga Mat,Fitness,France,1317.14,40,559.4,In-Store
2023-02-09,Smartwatch Lite,Electronics,Spain,2516.55,18,1292.92,In-Store
2023-02-09,Wireless Earbuds,Electronics,Spain,3710.95,28,1625.09,In-Store
2023-02-09,Denim Jacket,Apparel,Portugal,1151.65,13,652.29,Wholesale
2023-02-09,Smartwatch Lite,Electronics,Italy,3442.44,22,1668.63,Online
2023-02-09,Trail Sneakers,Footwear,France,2183.88,31,1115.13,Online
2023-02-09,Trail Sneakers,Footwear,Germany,1649.55,23,786.03,Online
2023-02-09,Yoga Mat,Fitness,Germany,1203.7,37,518.23,In-Store
2023-02-09,Cotton T-Shirt,Apparel,Netherlands,399.66,17,136.45,Wholesale
2023-02-09,Trail Sneakers,Footwear,Netherlands,1390.38,20,725.2,Online
2023-02-09,Running Shoes Pro,Footwear,Germany,6399.23,69,2899.75,Wholesale
2023-02-09,Cotton T-Shirt,Apparel,France,447.84,20,156.77,Online
2023-02-09,Cotton T-Shirt,Apparel,Spain,807.36,36,275.81,In-Store
2023-02-09,Smartwatch Lite,Electronics,Italy,282.61,2,143.0,Online
2023-02-09,Running Shoes Pro,Footwear,France,2531.83,26,1038.0,Online
2023-02-09,Denim Jacket,Apparel,France,970.79,10,456.24,Wholesale
2023-02-10,Running Shoes Pro,Footwear,Portugal,863.88,11,472.87,Wholesale
2023-02-10,Cotton T-Shirt,Apparel,France,372.97,16,128.11,Wholesale
2023-02-10,Wireless Earbuds,Electronics,Netherlands,5858.59,45,2708.37,Online
2023-02-10,Yoga Mat,Fitness,Netherlands,832.1,24,326.74,Wholesale
2023-02-10,Smartwatch Lite,Electronics,Germany,1702.86,10,717.39,In-Store
2023-02-10,Trail Sneakers,Footwear,Germany,300.72,4,142.5,Online
2023-02-10,Wireless Earbuds,Electronics,Italy,2972.41,26,1625.82,Online
2023-02-10,Wireless Earbuds,Electronics,Germany,5506.16,42,2496.7,Wholesale
2023-02-11,Cotton T-Shirt,Apparel,Spain,189.92,9,72.74,Wholesale
2023-02-11,Trail Sneakers,Footwear,Portugal,1288.86,17,615.11,Wholesale
