Date,Product,Category,Country,Revenue,Quantity,Cost,Customer_Segment
2023-01-22,Safety Sensor Array,Automation,Poland,13180.72,66,6076.86,Direct Industrial
2023-01-22,Pneumatic Valve V-200,Hydraulics,Germany,5581.97,37,2480.85,OEM
2023-01-22,Industrial Motor 5HP,Motors,China,10562.14,19,6281.87,OEM
2023-01-22,Conveyor Belt Roller,Components,South Korea,357.25,12,148.62,OEM
2023-01-22,Gearbox Assembly GB-12,Motors,Poland,17755.56,13,8610.34,Distributor
2023-01-23,PLC Controller Unit,Automation,China,29895.43,33,14816.63,Direct Industrial
2023-01-23,Safety Sensor Array,Automation,China,6486.03,33,3088.5,OEM
2023-01-23,Conveyor Belt Roller,Components,Mexico,226.16,9,112.36,Direct Industrial
2023-01-23,PLC Controller Unit,Automation,Mexico,11350.13,13,5891.58,OEM
2023-01-23,PLC Controller Unit,Automation,Germany,14740.8,16,7455.75,OEM
2023-01-23,Pneumatic Valve V-200,Hydraulics,Germany,2886.58,19,1346.27,Distributor
2023-01-23,Hydraulic Cylinder HC-40,Hydraulics,South Korea,10736.95,36,6603.53,Distributor
2023-01-23,Hydraulic Cylinder HC-40,Hydraulics,USA,10061.48,30,4999.88,Distributor
2023-01-23,Conveyor Belt Roller,Components,USA,411.86,15,192.14,Distributor
2023-01-23,PLC Controller Unit,Automation,Poland,37055.35,45,21169.2,Direct Industrial
2023-01-23,Conveyor Belt Roller,Components,Germany,206.33,8,95.86,Direct Industrial
2023-01-24,PLC Controller Unit,Automation,South Korea,23820.22,25,11694.79,OEM
2023-01-24,Steel Bearing 6205,Components,China,56.39,15,29.91,Distributor
2023-01-24,Hydraulic Cylinder HC-40,Hydraulics,South Korea,1792.45,6,1066.88,Distributor
2023-01-25,Gearbox Assembly GB-12,Motors,Mexico,23125.87,19,12998.39,Direct Industrial
2023-01-25,Industrial Motor 5HP,Motors,Poland,18402.06,32,10650.2,OEM
2023-01-25,PLC Controller Unit,Automation,Mexico,66645.08,72,32410.22,Distributor
2023-01-25,Safety Sensor Array,Automation,USA,4561.61,25,2438.15,Direct Industrial
2023-01-26,Safety Sensor Array,Automation,China,1932.98,9,859.11,Distributor
2023-01-26,Safety Sensor Array,Automation,Germany,1847.52,8,760.18,Distributor
2023-01-26,PLC Controller Unit,Automation,Germany,7107.01,9,4208.12,OEM
2023-01-26,Hydraulic Cylinder HC-40,Hydraulics,China,8690.74,29,5042.68,OEM
2023-01-27,Hydraulic Cylinder HC-40,Hydraulics,Mexico,6835.36,21,3780.89,Direct Industrial
2023-01-27,Pneumatic Valve V-200,Hydraulics,USA,2313.61,16,1113.35,Direct Industrial
2023-01-27,Hydraulic Cylinder HC-40,Hydraulics,USA,16996.59,50,8350.14,Distributor
2023-01-27,Safety Sensor Array,Automation,USA,4302.95,23,2098.17,OEM
2023-01-27,Conveyor Belt Roller,Components,Germany,292.67,10,120.86,Direct Industrial
2023-01-27,PLC Controller Unit,Automation,USA,37366.12,42,20027.81,Direct Industrial
2023-01-27,Hydraulic Cylinder HC-40,Hydraulics,South Korea,1540.75,5,875.37,Distributor
2023-01-27,Conveyor Belt Roller,Components,USA,107.5,4,49.8,OEM
2023-01-27,Pneumatic Valve V-200,Hydraulics,Germany,5617.83,45,2942.47,Distributor
2023-01-27,Safety Sensor Array,Automation,Mexico,5409.59,25,2286.55,Direct Industrial
2023-01-27,Conveyor Belt Roller,Components,Germany,574.38,20,239.09,OEM
2023-01-27,Conveyor Belt Roller,Components,China,291.1,10,119.41,Distributor
2023-01-27,Industrial Motor 5HP,Motors,China,24754.3,39,12795.14,Distributor
2023-01-28,Conveyor Belt Roller,Components,China,621.57,24,291.13,Direct Industrial
2023-01-28,Hydraulic Cylinder HC-40,Hydraulics,Germany,3516.1,10,1742.59,Distributor
2023-01-28,Safety Sensor Array,Automation,South Korea,4001.91,19,1859.52,Distributor
2023-01-28,Gearbox Assembly GB-12,Motors,USA,38260.42,33,23615.62,OEM
2023-01-28,Hydraulic Cylinder HC-40,Hydraulics,Germany,4502.88,15,2659.88,Direct Industrial
2023-01-28,PLC Controller Unit,Automation,USA,17725.81,19,8820.77,Direct Industrial
2023-01-29,Safety Sensor Array,Automation,Germany,3597.07,19,1728.45,Distributor
2023-01-29,Safety Sensor Array,Automation,China,5177.6,26,2538.07,Direct Industrial
2023-01-29,Safety Sensor Array,Automation,USA,5363.22,25,2492.96,Distributor
2023-01-29,Gearbox Assembly GB-12,Motors,China,29625.15,24,15830.26,OEM
2023-01-29,PLC Controller Unit,Automation,Mexico,3260.48,4,1810.2,OEM
2023-01-29,Hydraulic Cylinder HC-40,Hydraulics,China,8512.08,30,5408.99,Direct Industrial
2023-01-29,Hydraulic Cylinder HC-40,Hydraulics,USA,4506.67,15,2521.95,Distributor
2023-01-29,Pneumatic Valve V-200,Hydraulics,China,951.84,7,468.05,OEM
2023-01-30,Safety Sensor Array,Automation,USA,1392.22,7,646.75,Direct Industrial
2023-01-30,Steel Bearing 6205,Components,South Korea,26.63,7,13.66,Direct Industrial
2023-01-30,Gearbox Assembly GB-12,Motors,Germany,18219.53,15,10720.97,OEM
2023-01-30,PLC Controller Unit,Automation,Germany,9517.18,12,5426.4,OEM
2023-01-30,Steel Bearing 6205,Components,Germany,202.33,49,89.14,Distributor
2023-01-30,Pneumatic Valve V-200,Hydraulics,South Korea,3834.53,26,1819.33,OEM
2023-01-30,Pneumatic Valve V-200,Hydraulics,USA,4223.4,34,2342.87,Distributor
2023-01-30,Conveyor Belt Roller,Components,Germany,693.98,24,295.85,Distributor
2023-01-30,Gearbox Assembly GB-12,Motors,USA,10237.79,8,5759.66,Distributor
2023-01-31,Industrial Motor 5HP,Motors,Germany,2620.99,5,1745.44,OEM
2023-01-31,Gearbox Assembly GB-12,Motors,Germany,50787.57,40,28288.93,Distributor
2023-01-31,Gearbox Assembly GB-12,Motors,Mexico,43865.88,39,26134.63,OEM
2023-01-31,Gearbox Assembly GB-12,Motors,Poland,31174.87,27,18926.21,Direct Industrial
2023-01-31,Conveyor Belt Roller,Components,South Korea,800.85,28,348.36,OEM
2023-01-31,Hydraulic Cylinder HC-40,Hydraulics,South Korea,1246.35,4,696.05,Distributor
2023-02-01,Hydraulic Cylinder HC-40,Hydraulics,Mexico,4275.45,15,2628.32,OEM
2023-02-01,Steel Bearing 6205,Components,Mexico,174.9,44,79.76,Direct Industrial
2023-02-01,Hydraulic Cylinder HC-40,Hydraulics,Poland,2408.5,7,1257.97,OEM
2023-02-01,Pneumatic Valve V-200,Hydraulics,USA,3599.45,28,1906.8,Direct Industrial
2023-02-01,Gearbox Assembly GB-12,Motors,Mexico,41977.18,38,25110.21,OEM
2023-02-01,Hydraulic Cylinder HC-40,Hydraulics,China,15819.29,58,10072.2,Direct Industrial
2023-02-01,PLC Controller Unit,Automation,China,28914.58,30,14757.76,OEM
2023-02-02,Conveyor Belt Roller,Components,South Korea,268.42,10,122.82,Direct Industrial
2023-02-02,Safety Sensor Array,Automation,China,3498.01,17,1671.34,Direct Industrial
2023-02-02,Conveyor Belt Roller,Components,Poland,634.14,26,340.52,OEM
2023-02-02,Safety Sensor Array,Automation,China,8108.59,36,3429.15,Direct Industrial
2023-02-03,Pneumatic Valve V-200,Hydraulics,Germany,3109.66,22,1515.09,Direct Industrial
2023-02-03,Steel Bearing 6205,Components,China,98.19,25,46.02,OEM
2023-02-03,Safety Sensor Array,Automation,South Korea,5619.84,28,2648.63,Direct Industrial
2023-02-03,Gearbox Assembly GB-12,Motors,China,52835.52,40,26921.2,Distributor
2023-02-03,Conveyor Belt Roller,Components,USA,426.02,17,215.38,Direct Industrial
2023-02-04,Industrial Motor 5HP,Motors,Germany,7855.23,14,4899.05,OEM
2023-02-04,Hydraulic Cylinder HC-40,Hydraulics,Mexico,4669.73,17,2860.74,OEM
2023-02-04,Industrial Motor 5HP,Motors,Poland,6666.84,10,3537.13,Distributor
2023-02-04,Safety Sensor Array,Automation,Mexico,6640.53,30,2900.54,Distributor
2023-02-04,Conveyor Belt Roller,Components,South Korea,656.6,26,337.55,OEM
2023-02-05,Pneumatic Valve V-200,Hydraulics,Mexico,1883.85,14,928.53,Direct Industrial
2023-02-05,PLC Controller Unit,Automation,South Korea,8753.34,10,4477.92,OEM
2023-02-05,Industrial Motor 5HP,Motors,Mexico,10627.48,17,5509.09,Direct Industrial
2023-02-05,Industrial Motor 5HP,Motors,China,7335.13,13,4540.78,Distributor
2023-02-05,Pneumatic Valve V-200,Hydraulics,Germany,5960.89,44,3140.3,Distributor
2023-02-05,Industrial Motor 5HP,Motors,USA,22580.43,36,12119.38,Distributor
2023-02-05,Safety Sensor Array,Automation,South Korea,5362.49,30,2839.35,Direct Industrial
2023-02-05,Conveyor Belt Roller,Components,Poland,474.79,16,207.23,Distributor
2023-02-05,Safety Sensor Array,Automation,China,1204.32,6,569.92,OEM
2023-02-06,PLC Controller Unit,Automation,China,8566.81,11,5006.92,Direct Industrial
2023-02-06,Pneumatic Valve V-200,Hydraulics,Germany,1864.06,12,777.9,Distributor
2023-02-06,Pneumatic Valve V-200,Hydraulics,China,2900.18,21,1462.61,OEM
2023-02-07,Conveyor Belt Roller,Components,Mexico,815.81,34,404.24,Distributor
2023-02-07,Safety Sensor Array,Automation,Poland,1255.77,6,557.2,Direct Industrial
2023-02-07,Pneumatic Valve V-200,Hydraulics,Germany,3374.53,23,1519.83,Distributor
2023-02-07,Industrial Motor 5HP,Motors,Germany,5493.59,9,3019.28,OEM
2023-02-07,Steel Bearing 6205,Components,China,188.29,46,88.34,OEM
2023-02-07,Hydraulic Cylinder HC-40,Hydraulics,Poland,6897.19,25,4589.28,OEM
2023-02-07,Conveyor Belt Roller,Components,USA,232.76,9,116.94,Direct Industrial
2023-02-07,Gearbox Assembly GB-12,Motors,China,52521.59,49,34118.13,Direct Industrial
2023-02-08,Hydraulic Cylinder HC-40,Hydraulics,USA,1505.86,5,909.91,OEM
2023-02-08,Steel Bearing 6205,Components,Poland,19.18,5,9.13,Direct Industrial
2023-02-08,Gearbox Assembly GB-12,Motors,Mexico,27815.63,23,15231.74,OEM
2023-02-08,Gearbox Assembly GB-12,Motors,Poland,14429.66,12,7983.6,Direct Industrial
2023-02-08,Hydraulic Cylinder HC-40,Hydraulics,USA,2318.89,8,1406.73,Direct Industrial
2023-02-09,Pneumatic Valve V-200,Hydraulics,Mexico,3804.34,24,1600.21,Direct Industrial
2023-02-09,Industrial Motor 5HP,Motors,China,3703.71,6,1970.61,Direct Industrial
2023-02-09,Conveyor Belt Roller,Components,Germany,709.14,29,345.17,Distributor
2023-02-09,Industrial Motor 5HP,Motors,Mexico,10805.07,20,6775.54,Distributor
2023-02-09,Gearbox Assembly GB-12,Motors,Mexico,77145.37,57,37829.29,OEM
2023-02-09,PLC Controller Unit,Automation,China,3686.23,4,1889.93,OEM
2023-02-10,Industrial Motor 5HP,Motors,Germany,12968.75,24,8361.44,Direct Industrial
2023-02-10,Conveyor Belt Roller,Components,South Korea,429.19,17,204.76,OEM
2023-02-10,Steel Bearing 6205,Components,USA,97.15,24,44.05,Distributor
2023-02-10,Conveyor Belt Roller,Components,Germany,664.5,23,273.41,Distributor
2023-02-10,Hydraulic Cylinder HC-40,Hydraulics,Mexico,8148.14,26,4654.91,Distributor
2023-02-10,Safety Sensor Array,Automation,Germany,4129.26,18,1654.0,Direct Industrial
2023-02-10,Pneumatic Valve V-200,Hydraulics,Germany,2728.44,21,1496.36,Direct Industrial
2023-02-11,Steel Bearing 6205,Components,China,172.83,43,81.19,OEM
2023-02-11,Conveyor Belt Roller,Components,Poland,1074.23,35,433.69,Direct Industrial
2023-02-11,Pneumatic Valve V-200,Hydraulics,USA,2751.97,20,1361.19,Distributor
2023-02-11,Conveyor Belt Roller,Components,Mexico,1712.52,56,705.28,OEM
2023-02-11,Hydraulic Cylinder HC-40,Hydraulics,South Korea,4095.29,15,2628.62,Distributor
2023-02-12,Industrial Motor 5HP,Motors,South Korea,17999.34,27,8892.21,OEM
2023-02-12,Pneumatic Valve V-200,Hydraulics,China,4041.76,30,1986.23,Direct Industrial
2023-02-12,Conveyor Belt Roller,Components,South Korea,305.45,10,130.75,Direct Industrial
2023-02-12,Safety Sensor Array,Automation,USA,10647.47,49,4588.21,Direct Industrial
2023-02-12,Industrial Motor 5HP,Motors,Poland,7948.96,14,4988.2,Direct Industrial
2023-02-12,Pneumatic Valve V-200,Hydraulics,USA,3279.56,22,1494.53,Direct Industrial
2023-02-12,Conveyor Belt Roller,Components,Germany,802.61,29,368.78,Direct Industrial
2023-02-12,Hydraulic Cylinder HC-40,Hydraulics,China,7531.31,26,4731.31,Distributor
2023-02-12,Safety Sensor Array,Automation,Poland,2917.91,15,1395.5,Distributor
2023-02-12,Steel Bearing 6205,Components,China,119.88,33,64.71,OEM
2023-02-13,Steel Bearing 6205,Components,Poland,36.78,10,19.45,Direct Industrial
2023-02-13,Safety Sensor Array,Automation,Mexico,7092.83,32,3039.25,Distributor
2023-02-13,Gearbox Assembly GB-12,Motors,Mexico,36761.56,33,22374.51,Distributor
2023-02-13,PLC Controller Unit,Automation,South Korea,15651.75,16,7722.63,OEM
2023-02-13,Industrial Motor 5HP,Motors,China,11641.37,22,7827.8,OEM
2023-02-13,Hydraulic Cylinder HC-40,Hydraulics,China,7413.92,25,4570.63,Distributor
2023-02-13,Hydraulic Cylinder HC-40,Hydraulics,South Korea,11610.49,42,7688.1,Distributor
2023-02-13,Hydraulic Cylinder HC-40,Hydraulics,Mexico,4252.53,13,2288.81,Distributor
2023-02-13,Gearbox Assembly GB-12,Motors,South Korea,38375.06,31,21342.54,OEM
2023-02-14,Conveyor Belt Roller,Components,Germany,585.25,23,295.82,Direct Industrial
2023-02-14,Gearbox Assembly GB-12,Motors,China,61525.68,54,35821.58,Direct Industrial
2023-02-14,Pneumatic Valve V-200,Hydraulics,Germany,421.67,3,193.97,OEM
2023-02-14,Gearbox Assembly GB-12,Motors,USA,7484.99,7,5013.7,OEM
2023-02-14,Steel Bearing 6205,Components,South Korea,194.6,50,99.62,OEM
2023-02-15,Hydraulic Cylinder HC-40,Hydraulics,South Korea,7555.66,24,4045.85,Direct Industrial
2023-02-15,Industrial Motor 5HP,Motors,USA,31715.98,53,17309.83,OEM
2023-02-15,Gearbox Assembly GB-12,Motors,USA,9617.49,8,5393.72,Direct Industrial
2023-02-15,Hydraulic Cylinder HC-40,Hydraulics,USA,3558.2,12,2096.15,Direct Industrial
2023-02-15,Steel Bearing 6205,Components,China,41.38,11,21.04,Distributor
2023-02-15,Conveyor Belt Roller,Components,China,518.47,19,239.02,OEM
2023-02-15,Pneumatic Valve V-200,Hydraulics,China,4229.48,33,2227.45,Distributor
2023-02-15,Pneumatic Valve V-200,Hydraulics,Poland,2168.6,16,1076.95,OEM
2023-02-16,Pneumatic Valve V-200,Hydraulics,Poland,3111.79,23,1572.83,OEM
2023-02-16,Gearbox Assembly GB-12,Motors,Poland,14801.06,13,9377.89,OEM
2023-02-16,Safety Sensor Array,Automation,China,13311.47,64,6091.45,Direct Industrial
2023-02-16,Pneumatic Valve V-200,Hydraulics,Mexico,822.12,6,402.88,Distributor
